Airline	Year	DelayCounts	CancelledCounts	Arrivals	CarrierDelay	TotalDelay
Atlantic Southeast Airlines	2011	49.56497568	9415	327845	1242.740097	3303.084781
Comair Inc.	2004	53.48181818	13616	373346	1154.196212	2727.69697
Comair Inc.	2005	48.6217656	11370	381337	1006.472603	2423.145358
Comair Inc.	2006	53.51512674	6875	278099	1145.536386	2808.686836
Comair Inc.	2007	60.64507299	8912	236032	1288.103102	3359.117701
Comair Inc.	2008	52.11706349	6462	197607	1067.228175	2981.193452
Comair Inc.	2009	51.13686806	5156	151774	951.2068966	2904.426108
Comair Inc.	2010	36.95399781	5645	147633	993.5207877	2082.750547
Continental Air Lines Inc.	2003	58.32508834	1228	177431	513.0159011	3139.750883
Continental Air Lines Inc.	2004	64.660619	1898	299329	633.6478122	3499.935966
Continental Air Lines Inc.	2005	72.76174497	2739	296661	780.4910515	3989.82774
Continental Air Lines Inc.	2006	93.12763466	1649	309389	1028.117096	5341.503513
Continental Air Lines Inc.	2007	91.96736597	2951	323151	1056.213287	5591.009324
Continental Air Lines Inc.	2008	95.86220472	3702	298455	1307.2979	5747.446194
Continental Air Lines Inc.	2009	76.27062229	1357	258159	1017.112717	4234.848266
Continental Air Lines Inc.	2010	63.42272727	1986	239271	938.3833333	3146.318182
Continental Air Lines Inc.	2011	76.6122449	2885	245318	1159.501458	3835.556851
Delta Air Lines Inc.	2003	92.9877551	3474	386319	1111.389116	4131.817687
Delta Air Lines Inc.	2004	126.1976744	10717	687638	1555.688538	5947.188538
Delta Air Lines Inc.	2005	109.6784	17731	658302	1496.8448	5717.2816
Delta Air Lines Inc.	2006	93.40504202	7695	506086	1311.642857	4594.072269
Delta Air Lines Inc.	2007	87.74978578	6521	475889	1311.128535	4435.747215
Delta Air Lines Inc.	2008	86.2478185	6813	451931	1231.431065	4472.130017
Delta Air Lines Inc.	2009	80.02607076	4790	428007	1108.224395	4104.569832
Delta Air Lines Inc.	2010	111.1793155	14857	732973	2163.602974	6093.088476
Delta Air Lines Inc.	2011	83.30345801	10188	732331	1544.277347	4502.175723
Delta Air Lines Inc.	2012	61.47615894	3713	726879	1301.580132	3401.855629
Delta Air Lines Inc.	2013	71.34741488	2435	754670	1697.081967	4183.182219
Delta Air Lines Inc.	2014	74.64290067	6502	800375	1641.763559	4244.746496
Delta Air Lines Inc.	2015	67.94501718	2374	125305	1486.175258	4159.453608
Endeavor Air Inc.	2013	30.43085106	1691	119950	633.7464539	1704.891844
Envoy Air	2014	66.50220653	12798	292712	917.227714	3627.555163
Envoy Air	2015	74.2704918	6175	56840	1098.885246	4767.668033
ExpressJet Airlines Inc.	2003	52.71759891	3625	199362	421.308322	2632.553888
ExpressJet Airlines Inc.	2004	58.07928197	6103	367703	509.0553478	3108.644727
ExpressJet Airlines Inc.	2005	64.90190337	9353	403767	590.806735	3595.961201
ExpressJet Airlines Inc.	2006	76.74079422	9716	441470	797.5768953	4631.423105
ExpressJet Airlines Inc.	2007	70.77212544	10800	434773	882.4773519	4573.088502
ExpressJet Airlines Inc.	2008	62.81844174	9992	374510	870.6283059	3942.923517
ExpressJet Airlines Inc.	2009	51.9250218	5489	310717	605.9738448	3232.598082
ExpressJet Airlines Inc.	2010	58.55862069	8114	385077	801.6781609	3310.800766
ExpressJet Airlines Inc.	2011	64.10839914	14117	413286	1252.051576	4042.239255
ExpressJet Airlines Inc.	2012	82.10761854	15272	740855	1833.594033	5452.719233
ExpressJet Airlines Inc.	2013	93.6120332	21307	748696	1744.978745	6145.870918
ExpressJet Airlines Inc.	2014	82.37074148	34128	686021	1671.150301	5422.211423
ExpressJet Airlines Inc.	2015	64.08630952	4704	95063	1303.083333	3850.553571
Frontier Airlines Inc.	2005	30.01311475	175	53255	379.5409836	1262.068852
Frontier Airlines Inc.	2006	34.38993711	902	90181	387.5136268	1375.819706
Frontier Airlines Inc.	2007	41.11538462	398	97760	537.0711538	1809.742308
Frontier Airlines Inc.	2008	39.1049505	303	95762	496.9722772	1616.730693
Frontier Airlines Inc.	2009	38.61864407	552	86989	381.7394068	1807.105932
Frontier Airlines Inc.	2010	29.49298597	352	81966	314.6172345	1448.799599
Frontier Airlines Inc.	2011	30.55277281	596	85485	355.7942755	1521.128801
Frontier Airlines Inc.	2012	26.2607362	250	79255	333.2898773	1219.240798
Frontier Airlines Inc.	2013	25.54417414	283	75612	293.9193342	1431.745198
Frontier Airlines Inc.	2014	27.97674419	357	85474	328.8281654	1714.5
Frontier Airlines Inc.	2015	38.81578947	197	12638	609.1140351	2842.140351
Hawaiian Airlines Inc.	2003	21.375	37	7831	576.59375	783.75
Hawaiian Airlines Inc.	2004	15.37222222	162	48077	471.2	731.4833333
Hawaiian Airlines Inc.	2005	14.23125	69	48183	473.19375	672.625
Hawaiian Airlines Inc.	2006	17.85119048	253	52173	663.7380952	948.6130952
Hawaiian Airlines Inc.	2007	21.01785714	238	56175	800.9761905	1102.636905
Hawaiian Airlines Inc.	2008	32.87647059	570	61826	1087.382353	1606.535294
Hawaiian Airlines Inc.	2009	31.00555556	150	72920	1036.211111	1300.9
Hawaiian Airlines Inc.	2010	27.62222222	55	67649	877.7111111	1202.077778
Hawaiian Airlines Inc.	2011	25.83333333	122	66740	770.5722222	1167.922222
Hawaiian Airlines Inc.	2012	25.65775401	67	74109	847.828877	1219.096257
Hawaiian Airlines Inc.	2013	23.09803922	68	72286	780.377451	1100.642157
Hawaiian Airlines Inc.	2014	28.55882353	158	74732	789.622549	1210.044118
Hawaiian Airlines Inc.	2015	56.52941176	29	12219	1122.411765	2212.147059
Independence Air	2004	73.0308642	1318	59944	455.2037037	4025.987654
Independence Air	2005	53.13385827	2877	136492	453.3129921	2909.992126
JetBlue Airways	2003	35.34415584	100	40741	602.0714286	1870.642857
JetBlue Airways	2004	52.24	511	89834	513.7833333	2286.64
JetBlue Airways	2005	86.44886364	888	111049	799.5227273	4523.894886
JetBlue Airways	2006	90.12831858	659	155732	885.6438053	5382.387168
JetBlue Airways	2007	93.80673759	3710	191450	997.4343972	6348.593972
JetBlue Airways	2008	91.66294227	3205	196091	1261.86406	6215.495345
JetBlue Airways	2009	76.47368421	2617	194336	1337.293233	4769.924812
JetBlue Airways	2010	80.52268603	4116	201434	1704.53176	4932.217786
JetBlue Airways	2011	91.13230241	3895	215970	1837.804124	5741.503436
JetBlue Airways	2012	73.11382114	2387	229056	1525.513821	4508.370732
JetBlue Airways	2013	89.66060606	2013	241777	1628.187879	5458.686364
JetBlue Airways	2014	77.76923077	6076	249693	1354.92735	4607.163818
JetBlue Airways	2015	101.1052632	2398	41374	1774.859649	6138.04386
Mesa Airlines Inc.	2006	49.81990189	9544	304764	1271.956552	3330.942537
Mesa Airlines Inc.	2007	48.32401434	11287	294362	1273.898925	3069.323297
Mesa Airlines Inc.	2008	42.52336449	9219	254930	1385.866283	2749.285406
Mesa Airlines Inc.	2009	35.20681642	4907	244128	1320.117738	2166.357862
Mesa Airlines Inc.	2010	23.11952555	3439	174797	450.2920837	1284.677889
Mesa Airlines Inc.	2011	21.34940945	3499	156297	380.9646365	1280.985265
Mesa Airlines Inc.	2012	19.91491713	1902	133976	347.8696133	1089.479558
Mesa Airlines Inc.	2013	31.26198439	3654	140922	519.7881828	1890
Northwest Airlines Inc.	2003	61.87335092	3439	291240	1086.05409	2735.191293
Northwest Airlines Inc.	2004	73.43587843	6010	507286	1282.607116	3296.213491
Northwest Airlines Inc.	2005	81.37281977	6937	480832	1732.00218	4060.760174
Northwest Airlines Inc.	2006	77.55407524	4854	432880	1546.472571	3729.986677
Northwest Airlines Inc.	2007	94.43639291	7814	414526	1832.772142	4707.470209
Northwest Airlines Inc.	2008	68.51641526	2906	347652	1311.665484	3505.50488
Northwest Airlines Inc.	2009	62.37021277	1897	293133	1148.222104	3082.828905
Pinnacle Airlines Inc.	2007	39.03037037	7939	258851	835.3274074	2307.362222
Pinnacle Airlines Inc.	2008	33.02166065	7100	262208	655.0173035	1894.818313
Pinnacle Airlines Inc.	2009	28.73766976	4926	262973	506.0221429	1488.355714
Pinnacle Airlines Inc.	2010	31.85942705	7653	261364	611.9793471	1742.003997
Pinnacle Airlines Inc.	2013	42.01877347	5504	176751	878.5331665	2700.438048
SkyWest Airlines Inc.	2003	37.16269285	3628	240401	810.2664797	1816.389902
SkyWest Airlines Inc.	2004	50.80072993	9784	463448	1046.943796	2414.717518
SkyWest Airlines Inc.	2005	55.88935282	9639	517454	1339.796799	2712.299235
SkyWest Airlines Inc.	2006	73.96618986	12844	548109	1679.208713	3939.815345
SkyWest Airlines Inc.	2007	75.72880372	14186	597880	1585.509292	4015.043554
SkyWest Airlines Inc.	2008	60.41618829	12434	567157	956.248433	3522.793162
SkyWest Airlines Inc.	2009	53.25359712	7780	547572	594.5955662	2897.828041
SkyWest Airlines Inc.	2010	64.36515239	11932	599620	798.8021852	3571.941921
SkyWest Airlines Inc.	2011	61.15972618	12688	587372	769.0770108	3333.702795
SkyWest Airlines Inc.	2012	56.68029115	11167	617756	761.93729	3125.380739
SkyWest Airlines Inc.	2013	60.40172786	13926	626359	914.7219222	3519.182505
SkyWest Airlines Inc.	2014	63.69026999	18308	613030	1014.106925	3684.529022
SkyWest Airlines Inc.	2015	61.19020173	2665	92103	1092.034483	3875.41954
Southwest Airlines Co.	2003	178.3365617	5250	562675	1594.205811	8016.811138
Southwest Airlines Co.	2004	259.2108939	10103	990404	2247.910615	11578.03631
Southwest Airlines Co.	2005	261.5477178	8759	1036034	2357.384509	11514.73444
Southwest Airlines Co.	2006	276.5689424	8951	1099321	2682.024096	12738.43775
Southwest Airlines Co.	2007	289.6727989	9993	1168871	2762.513798	13766.67411
Southwest Airlines Co.	2008	286.1419271	12389	1201754	2944.013021	14488.49219
Southwest Airlines Co.	2009	229.7828283	8594	1132278	2680.60101	10805.65783
Southwest Airlines Co.	2010	263.6080097	11597	1124487	3410.824029	12171.38592
Southwest Airlines Co.	2011	234.7249417	12147	1155717	3106.751748	11750.61655
Southwest Airlines Co.	2012	201.7491639	9580	1140535	2896.962096	9834.622074
Southwest Airlines Co.	2013	250.6878097	8440	1130704	3148.878097	11548.5996
Southwest Airlines Co.	2014	284.8885714	15165	1174633	4228.128571	14631.08857
Southwest Airlines Co.	2015	206.7267442	5221	190214	3079.226744	9958.790698
Spirit Air Lines	2015	74.42424242	364	16832	889.530303	4568.257576
United Air Lines Inc.	2003	101.4087591	2980	320081	1157.757299	5664.711679
United Air Lines Inc.	2004	109.4083333	6548	555812	1352.64375	6238.454167
United Air Lines Inc.	2005	104.6738906	6296	485918	1625.681115	6054.055728
United Air Lines Inc.	2006	123.9781931	10238	500008	1714.520249	7500.140187
United Air Lines Inc.	2007	137.6933472	11929	490002	1910.790021	8374.390852
United Air Lines Inc.	2008	117.7200811	10541	449515	1744.574037	7318.911765
United Air Lines Inc.	2009	72.80383315	6378	377049	1106.990991	4374.320946
United Air Lines Inc.	2010	52.1408776	5010	343081	759.7205543	3071.792148
United Air Lines Inc.	2011	66.26030624	4880	311212	984.8044759	3915.355713
United Air Lines Inc.	2012	115.6259067	7599	531245	2194.433161	6663.451813
United Air Lines Inc.	2013	102.9760167	4920	505798	1806.305527	6076.396246
United Air Lines Inc.	2014	121.3741722	7330	493528	2191.080574	7145.422737
United Air Lines Inc.	2015	111.1315789	1973	74630	2215.697368	6314.861842
US Airways Inc.	2003	110.5169082	3373	239248	967.1038647	5137.118357
US Airways Inc.	2004	110.0593923	6779	419919	1268.552486	5518.058011
US Airways Inc.	2005	124.2520216	8426	425609	1496.117251	6218.649596
US Airways Inc.	2006	113.2802875	5511	504844	1444.35729	5278.812115
US Airways Inc.	2007	147.0414079	8942	485447	2114.069358	7193.412008
US Airways Inc.	2008	86.38854167	6582	453589	1155.557292	4340.254167
US Airways Inc.	2009	80.57912088	5133	413907	996.1417582	3839.189011
US Airways Inc.	2010	66.72717508	6290	407111	926.4806867	3177.150215
US Airways Inc.	2011	82.58726674	6605	408922	1263.609221	4032.222832
US Airways Inc.	2012	57.86028603	3990	404263	883.5159516	2629.817382
US Airways Inc.	2013	77.61189189	4030	412373	1180.512432	3708.96973
US Airways Inc.	2014	81.38565022	6737	414665	1417.571749	3955.107623
US Airways Inc.	2015	85.10810811	2533	63642	1507.898649	4327.756757
Virgin America	2012	50.5755814	285	54742	506.5232558	3598.075581
Virgin America	2013	45.7962963	261	57133	483.4537037	3183.606481
Virgin America	2014	46.57077626	335	57510	458.8767123	3047.83105
Virgin America	2015	44.30555556	235	8954	531.6111111	2755.555556
